method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
rule_based,action_scale,2,0.5,6,-0.0,0.0178997864614296,1.0,0.1791956424713134,0.1194637641310691,0.0,0.0
rule_based,action_scale,2,0.5,7,-0.0,0.0134236115284963,1.0,0.1342483609914779,0.0894989073276519,0.0,0.0
rule_based,action_scale,2,0.5,8,-0.0,0.0100802040134073,1.0,0.1006771326065063,0.0671180859208107,0.0,0.0
rule_based,action_scale,2,0.5,9,-0.0,0.0075829048961995,1.0,0.0756014585494995,0.0504009760916233,0.0,0.0
rule_based,action_scale,2,0.5,10,-0.0,0.0057176932982765,1.0,0.0568721927702426,0.0379147939383983,0.0,0.0
rule_based,action_scale,2,0.5,11,-0.0,0.0043248848774595,1.0,0.0428829379379749,0.0285886265337467,0.0,0.0
rule_based,action_scale,2,0.5,12,-0.0,0.0032868722125703,1.0,0.0324365422129631,0.0216243602335453,0.0,0.0
rule_based,action_scale,2,0.5,13,-0.0,0.0025187354003415,1.0,0.0246515776962041,0.016434384509921,0.0,0.0
rule_based,action_scale,2,0.5,14,-0.0,0.0019572145113746,1.0,0.018890643492341,0.0125937620177865,0.0,0.0
rule_based,action_scale,2,0.5,15,-0.0,0.0015527043235898,1.0,0.0146793387830257,0.0097862258553504,0.0,0.0
rule_based,action_scale,2,0.5,16,-0.0,0.0012637953859847,1.0,0.0116451662033796,0.0077634444460272,0.0,0.0
rule_based,action_scale,2,0.5,17,-0.0,0.0010583715436048,1.0,0.0094781573861837,0.0063187712803483,0.0,0.0
rule_based,action_scale,2,0.5,18,-0.0,0.0009127192118289,1.0,0.0079377181828022,0.0052918121218681,0.0,0.0
rule_based,action_scale,2,0.5,19,-0.0,0.0008096397075721,1.0,0.0068452139385044,0.0045634759590029,0.0,0.0
rule_based,action_scale,2,0.5,20,-0.0,0.0007367983639974,1.0,0.0060719717293977,0.0040479809977114,0.0,0.0
rule_based,action_scale,2,0.5,21,-0.0,0.0006853515738667,1.0,0.0055257841013371,0.0036838559899479,0.0,0.0
rule_based,action_scale,2,0.5,22,-0.0,0.0006489833653787,1.0,0.0051401834934949,0.0034267890732735,0.0,0.0
rule_based,action_scale,2,0.5,23,-0.0,0.0006232322349499,1.0,0.0048673939891159,0.0032449294812977,0.0,0.0
rule_based,action_scale,2,0.5,24,-0.0,0.0006049572767182,1.0,0.0046742386184632,0.0031161587685346,0.0,0.0
rule_based,action_scale,2,0.5,25,-0.0,0.0005920145936211,1.0,0.0045369467698037,0.0030246311798691,0.0,0.0
rule_based,action_scale,2,0.5,26,-0.0,0.0005827590421572,1.0,0.0044400603510439,0.0029600402340292,0.0,0.0
rule_based,action_scale,2,0.5,27,-0.0,0.0005761726686635,1.0,0.0043704868294298,0.002913658041507,0.0,0.0
rule_based,action_scale,2,0.5,28,-0.0,0.0005715120544004,1.0,0.0043213088065385,0.0028808726929128,0.0,0.0
rule_based,action_scale,2,0.5,29,-0.0,0.0005682151949953,1.0,0.0042863325215876,0.0028575549367815,0.0,0.0
rule_based,action_scale,2,0.5,30,-0.0,0.0005659209568543,1.0,0.0042613097466528,0.002840873086825,0.0,0.0
rule_based,action_scale,2,0.5,31,-0.0,0.0005643475906744,1.0,0.0042440602555871,0.0028293733485043,0.0,0.0
rule_based,action_scale,2,0.5,32,-0.0,0.000563324025879,1.0,0.004232364706695,0.0028215765487402,0.0,0.0
